UNI_CODIGO;NOMBRE_ESTABLECIMIENTO;ZONA_COD;PROVINCIA_DESCRIPCION;CANTON_DESCRIPCION;DISTRITO_COD;NIVEL
002034;24 DE MAYO (DAHUANO);ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002026;AÑANGU;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002030;BAJO HUINO;ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002025;CAP. AUGUSTO RIVADENEYRA;ZONA 2;ORELLANA;AGUARICO;22D03;NIVEL 1
002019;CENTRO SHUAR;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002003;COCA 2;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002814;COCA 3;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002018;DAYUMA;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002042;DIKARO;ZONA 2;ORELLANA;AGUARICO;22D03;NIVEL 1
002040;EL DORADO;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002027;EL EDEN;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002043;EL PARAISO;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002010;ENOKANKI;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002007;GARCIA MORENO;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002044;GUAYUSA;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002033;HUATICOCHA;ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002035;HUIRUNO;ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002776;KUPI 4;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002021;LA ANDINA;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002006;LA BELLEZA CENTRAL;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002004;LA BELLEZA MONO I;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002005;LA DELICIA;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002032;LA PAZ;ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002041;POMPEYA;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002031;PTO. MURIALDO;ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002013;SAN CARLOS;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002868;SAN FRANCISCO;ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002028;SAN LUIS DE ARMENIA;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002014;SAN SEBASTIAN DEL COCA;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002037;TARACOA;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002024;TIPUTINI;ZONA 2;ORELLANA;AGUARICO;22D03;NIVEL 1
002023;TIWINO COLONO;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
021089;TIWINO WAORANI;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002016;UNION MILAGRENA;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002020;WESTER;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002002;JAMBI HUASI;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 1
002029;LORETO;ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002012;JOYA DE LOS SACHAS;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002017;10 DE AGOSTO;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002009;3 DE NOVIEMBRE;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
037995;KAWIMENO;ZONA 2;ORELLANA;AGUARICO;22D03;NIVEL 1
002011;LAGO SAN PEDRO;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002015;RIVERAS DEL RIO NAPO;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002008;RUMIPAMBA;ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;22D01;NIVEL 1
002036;SAN JOSE DE PAYAMINO;ZONA 2;ORELLANA;LORETO;22D02;NIVEL 1
002790;ZANCUDOCOCHA;ZONA 2;ORELLANA;AGUARICO;22D03;NIVEL 1
002047;HOSPITAL BÁSICO FISCOMISIONAL FRANKLIN TELLO;ZONA 2;ORELLANA;AGUARICO;22D03;NIVEL 2
002045;HOSPITAL GENERAL FRANCISCO DE ORELLANA;ZONA 2;ORELLANA;ORELLANA;22D02;NIVEL 2
