CIE;DESCRIPCION
A00;COLERA
A000;COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE
A001;COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR
A009;COLERA, NO ESPECIFICADO
A01;FIEBRES TIFOIDEA Y PARATIFOIDEA
A010;FIEBRE TIFOIDEA
A011;FIEBRE PARATIFOIDEA A
A012;FIEBRE PARATIFOIDEA B
A013;FIEBRE PARATIFOIDEA C
A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA
A02;OTRAS INFECCIONES DEBIDAS A SALMONELLA
A020;ENTERITIS DEBIDA A SALMONELLA
A021;SEPSIS DEBIDA A SALMONELLA
A022;INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA
A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029;INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA
A03;SHIGELOSIS
A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038;OTRAS SHIGELOSIS
A039;SHIGELOSIS DE TIPO NO ESPECIFICADO
A04;OTRAS INFECCIONES INTESTINALES BACTERIANAS
A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A045;ENTERITIS DEBIDA A CAMPYLOBACTER
A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA
A05;OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE
A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A051;BOTULISMO
A052;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A054;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
A059;INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA
A06;AMEBIASIS
A060;DISENTERIA AMEBIANA AGUDA
A061;AMEBIASIS INTESTINAL CRONICA
A062;COLITIS AMEBIANA NO DISENTERICA
A063;AMEBOMA INTESTINAL
A064;ABSCESO AMEBIANO DEL HIGADO
A065;ABSCESO AMEBIANO DEL PULMON
A066;ABSCESO AMEBIANO DEL CEREBRO
A067;AMEBIASIS CUTANEA
A068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
A069;AMEBIASIS, NO ESPECIFICADA
A07;OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A070;BALANTIDIASIS
A071;GIARDIASIS [LAMBLIASIS]
A072;CRIPTOSPORIDIOSIS
A073;ISOSPORIASIS
A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
A079;ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA
A08;INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A080;ENTERITIS DEBIDA A ROTAVIRUS
A081;GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK
A082;ENTERITIS DEBIDA A ADENOVIRUS
A083;OTRAS ENTERITIS VIRALES
A084;INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION
A085;OTRAS INFECCIONES INTESTINALES ESPECIFICADAS
A09;OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO
A090;OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO
A099;GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO
A09X;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A15;TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A150;TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO
A151;TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO
A152;TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE
A153;TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS
A154;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A155;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A156;PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A157;TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A158;OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE
A159;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A16;TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA O HISTOLOGICAMENTE
A160;TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS
A161;TUBERCULOSIS DE PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO
