CIE;DESCRIPCION
V01;PEATON LESIONADO POR COLISION CON VEHICULO DE PEDAL
V010;PEATON LESIONADO POR COLISION CON VEHICULO DE PEDAL, ACCIDENTE NO DE TRANSITO
V011;PEATON LESIONADO POR COLISION CON VEHICULO DE PEDAL, ACCIDENTE DE TRANSITO
V019;PEATON LESIONADO POR COLISION CON VEHICULO DE PEDAL, ACCIDENTE NO ESPECIFICADO COMO DE TRANSITO O NO DE TRANSITO
V02;PEATON LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V020;PEATON LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, ACCIDENTE NO DE TRANSITO
V021;PEATON LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, ACCIDENTE DE TRANSITO
V029;PEATON LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, ACCIDENTE NO ESPECIFICADO COMO DE TRANSITO O NO DE TRANSITO
V03;PEATON LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA
V030;PEATON LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, ACCIDENTE NO DE TRANSITO
V031;PEATON LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, ACCIDENTE DE TRANSITO
V039;PEATON LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, ACCIDENTE NO ESPECIFICADO COMO DE TRANSITO O NO DE TRANSITO
V04;PEATON LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V040;PEATON LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, ACCIDENTE NO DE TRANSITO
V041;PEATON LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, ACCIDENTE DE TRANSITO
V049;PEATON LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, ACCIDENTE NO ESPECIFICADO COMO DE TRANSITO O NO DE TRANSITO
V05;PEATON LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V050;PEATON LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, ACCIDENTE NO DE TRANSITO
V051;PEATON LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, ACCIDENTE DE TRANSITO
V059;PEATON LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, ACCIDENTE NO ESPECIFICADO COMO DE TRANSITO O NO DE TRANSITO
V06;PEATON LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V060;PEATON LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, ACCIDENTE NO DE TRANSITO
V061;PEATON LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, ACCIDENTE DE TRANSITO
V069;PEATON LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, ACCIDENTE NO ESPECIFICADO COMO DE TRANSITO O NO DE TRANSITO
V09;PEATON LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V090;PEATON LESIONADO EN ACCIDENTE NO DE TRANSITO QUE INVOLUCRA OTROS VEHICULOS DE MOTOR, Y LOS NO ESPECIFICADOS
V091;PEATON LESIONADO EN ACCIDENTE NO DE TRANSITO NO ESPECIFICADO
V092;PEATON LESIONADO EN ACCIDENTE DE TRANSITO QUE INVOLUCRA OTROS VEHICULOS DE MOTOR, Y LOS NO ESPECIFICADOS
V093;PEATON LESIONADO EN ACCIDENTE DE TRANSITO NO ESPECIFICADO
V099;PEATON LESIONADO EN ACCIDENTE DE TRANSPORTE NO ESPECIFICADO
V10;CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL
V100;CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V101;CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V102;CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V103;CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V104;CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V105;CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V109;CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V11;CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA
V110;CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V111;CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V112;CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V113;CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V114;CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V115;CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V119;CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V12;CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS.
V120;CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V121;CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, PASAJERO LESIONADO EN ACCIDENTES NO DE TRANSITO
V122;CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V123;CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V124;CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V125;CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V129;CICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V13;CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA
V130;CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V131;CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V132;CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, CICLISTA NO ESPECIFICADO LESIONADO EN ACCIDENTE NO DE TRANSITO
V133;CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V134;CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V135;CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V139;CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V14;CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V140;CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V141;CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V142;CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V143;CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V144;CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V145;CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V149;CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V15;CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V150;CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V151;CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V152;CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V153;CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V154;CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V155;CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V159;CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V16;CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V160;CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
V161;CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, PASAJERO LESIONADO EN ACCIDENTE NO DE TRANSITO
V162;CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE NO DE TRANSITO
V163;CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO
V164;CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, CONDUCTOR LESIONADO EN ACCIDENTE DE TRANSITO
V165;CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO
V169;CICLISTA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR, CICLISTA NO ESPECIFICADO, LESIONADO EN ACCIDENTE DE TRANSITO
V17;CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO
V170;CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRANSITO
